"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_haze_Note0"						  "Can be disjointed."
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_haze_radius"                      "RADIUS:"
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_haze_duration_heroes"             "HERO DURATION:"
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_haze_duration_creeps"             "CREEP DURATION:"
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_haze_movement_slow"               "%MOVE SPEED SLOW:"
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_haze_miss_chance"                 "%MISS CHANCE:"
		
		"DOTA_Tooltip_modifier_custom_drunken_haze_debuff"                                "Drunken Haze"
		"DOTA_Tooltip_modifier_custom_drunken_haze_debuff_Description"                    "Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% chance to miss attacks."

		"DOTA_Tooltip_ability_brewmaster_custom_keg_clap"                                 "Keg Clap"
		"DOTA_Tooltip_ability_brewmaster_custom_keg_clap_Description"                     "Slams the ground, dealing damage and slowing the movement speed and attack speed of nearby enemies."
		"DOTA_Tooltip_ability_brewmaster_custom_keg_clap_Lore"							  "A slam of Brewmaster's mighty keg starts the festivities."
		"DOTA_Tooltip_ability_brewmaster_custom_keg_clap_radius"                          "RADIUS:"
		"DOTA_Tooltip_ability_brewmaster_custom_keg_clap_duration"                        "HERO DURATION:"
		"DOTA_Tooltip_ability_brewmaster_custom_keg_clap_duration_creeps"                 "CREEP DURATION:"
		"DOTA_Tooltip_ability_brewmaster_custom_keg_clap_damage"                          "DAMAGE:"
		"DOTA_Tooltip_ability_brewmaster_custom_keg_clap_movement_slow"                   "%MOVE SPEED SLOW:"
		"DOTA_Tooltip_ability_brewmaster_custom_keg_clap_attack_speed_slow"               "ATTACK SPEED SLOW:"
		
		"DOTA_Tooltip_modifier_keg_clap_debuff"                                           "Keg Clap"
		"DOTA_Tooltip_modifier_keg_clap_debuff_Description"                               "Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

		"DOTA_Tooltip_ability_brewmaster_custom_drunken_brawler"                          "Drunken Brawler"
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_brawler_Description"              "Gives a chance to evade attacks and to deal critical damage.\n\nStacks diminishingly with other sources of Evasion."
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_brawler_Lore"					  "When this Brewmaster of the Order of Oyo achieved his title, he also claimed his place in the mastery of inebriation."
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_brawler_evasion_chance"           "%EVASION CHANCE:"
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_brawler_crit_chance"              "%CRIT CHANCE:"
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_brawler_crit_damage"              "%CRIT DAMAGE:"

		"DOTA_Tooltip_ability_brewmaster_custom_drunken_fist"                             "Drunken Fist"
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_fist_Description"                 "Brewmaster gains bonus base damage, bonus movement speed and cleave. Brewmaster also knockbacks all enemies in front of him while attacking."
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_fist_Lore"						  "Drunken Mastery."
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_fist_duration"                    "DURATION:"
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_fist_knockback_distance"          "KNOCKBACK DISTANCE:"
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_fist_knockback_duration"          "KNOCKBACK DURATION:"
		//"DOTA_Tooltip_ability_brewmaster_custom_drunken_fist_knockback_height"            "KNOCKBACK HEIGHT:"
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_fist_bonus_damage"                "BONUS BASE DAMAGE:"
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_fist_bonus_move_speed"            "%BONUS MOVE SPEED:"
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_fist_cleave_damage"               "%CLEAVE DAMAGE:"
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_fist_cleave_start_radius"         "CLEAVE STARTING RADIUS:"
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_fist_cleave_distance"             "CLEAVE DISTANCE:"
		"DOTA_Tooltip_ability_brewmaster_custom_drunken_fist_cleave_end_radius"           "CLEAVE END RADIUS:"
		
		"DOTA_Tooltip_modifier_drunken_fist_bonus"                                        "Drunken Fist"
		"DOTA_Tooltip_modifier_drunken_fist_bonus_Description"                            "Increased attack damage, increased movement speed, 100%% cleave and knockback on attack."

		"DOTA_Tooltip_ability_brewmaster_custom_primal_split"                             "Primal Split"
		"DOTA_Tooltip_ability_brewmaster_custom_primal_split_Description"                 "Splits Brewmaster into 3 spirits, 3 specialized warriors, adept at survival. If any of them survive until the end of their summoned timer, the Brewmaster is reborn."
		"DOTA_Tooltip_ability_brewmaster_custom_primal_split_Lore"                        "It isn't clear whether Brewmaster is consciously aware of his potent bond with nature, as it often occurs in the midst of a drunken stupor."
		"DOTA_Tooltip_ability_brewmaster_custom_primal_split_Note0"                       "The Earth Spirit will carry all auras that the Brewmaster has, as well as True Sight."
		"DOTA_Tooltip_ability_brewmaster_custom_primal_split_spirit_duration"             "SPIRIT DURATION:"
		"DOTA_Tooltip_ability_brewmaster_custom_primal_split_split_duration"              "SPLIT DELAY:"
		
		"DOTA_Tooltip_ability_primal_split_earth_spirit_taunt"                            "Taunt"
		"DOTA_Tooltip_ability_primal_split_earth_spirit_taunt_Description"                "Earth Spirit taunts nearby enemy units, forcing them to attack him."
		"DOTA_Tooltip_ability_primal_split_earth_spirit_taunt_Note0"                      ""
		"DOTA_Tooltip_ability_primal_split_earth_spirit_taunt_Lore"                       "Earth Spirit is strong."
		"DOTA_Tooltip_ability_primal_split_earth_spirit_taunt_radius"                     "RADIUS:"
		"DOTA_Tooltip_ability_primal_split_earth_spirit_taunt_duration"					  "DURATION:"
		
		"DOTA_Tooltip_modifier_earth_spirit_custom_taunted"                               "Taunted"
		"DOTA_Tooltip_modifier_earth_spirit_custom_taunted_Description"                   "Forced to attack Earth Spirit."

		"DOTA_Tooltip_ability_primal_split_earth_spirit_hurl_boulder"                     "Hurl Boulder"
		"DOTA_Tooltip_ability_primal_split_earth_spirit_hurl_boulder_Description"         "Hurls a boulder at the enemy, damaging and stunning them."
		"DOTA_Tooltip_ability_primal_split_earth_spirit_hurl_boulder_Note0"               ""
		"DOTA_Tooltip_ability_primal_split_earth_spirit_hurl_boulder_Lore"                "Earth manipulation at its finest."
		"DOTA_Tooltip_ability_primal_split_earth_spirit_hurl_boulder_damage"              "DAMAGE:"
		"DOTA_Tooltip_ability_primal_split_earth_spirit_hurl_boulder_duration"            "STUN DURATION:"
		"DOTA_Tooltip_ability_primal_split_earth_spirit_hurl_boulder_speed"               "BOULDER SPEED:"

		"DOTA_Tooltip_ability_primal_split_earth_spirit_spell_immunity"                   "Spell Immunity"
		"DOTA_Tooltip_ability_primal_split_earth_spirit_spell_immunity_Description"       "Immune to magic damage and most spells."
		"DOTA_Tooltip_ability_primal_split_earth_spirit_spell_immunity_Note0"             ""
		"DOTA_Tooltip_ability_primal_split_earth_spirit_spell_immunity_Lore"              "Earth Spirit is spell immune like the earth itself."

		"DOTA_Tooltip_ability_primal_split_earth_spirit_demolish"                         	"Demolish"
		"DOTA_Tooltip_ability_primal_split_earth_spirit_demolish_Description"             	"Deals Earth Spirit's attack damage as pure damage in a small radius around the attacked target and deals bonus damage to buildings."
		"DOTA_Tooltip_ability_primal_split_earth_spirit_demolish_Note0"                   	"Bonus damage to buildings is physical damage."
		"DOTA_Tooltip_ability_primal_split_earth_spirit_demolish_Lore"                    	"Earth Spirit smashes the ground and damages everything on it."
		"DOTA_Tooltip_ability_primal_split_earth_spirit_demolish_radius_damage_percent"     "%SPLASH DAMAGE:"
		"DOTA_Tooltip_ability_primal_split_earth_spirit_demolish_radius"           			"SPLASH RADIUS:"
		"DOTA_Tooltip_ability_primal_split_earth_spirit_demolish_bonus_damage_to_buildings"	"BONUS DAMAGE TO BUILDINGS:"
		
		"DOTA_Tooltip_ability_primal_split_storm_spirit_dispel_magic"                     "Dispel Magic"
		"DOTA_Tooltip_ability_primal_split_storm_spirit_dispel_magic_Description"         "Damages summoned units and illusions in an area. Applies basic dispel to allies and enemies."
		"DOTA_Tooltip_ability_primal_split_storm_spirit_dispel_magic_Note0"               "Removes buffs from enemies, removes debuffs from allies."
		"DOTA_Tooltip_ability_primal_split_storm_spirit_dispel_magic_Lore"                "Storm Spirit removes magics like the lightning itself."
		"DOTA_Tooltip_ability_primal_split_storm_spirit_dispel_magic_damage_to_summons"   "DAMAGE TO SUMMONS:"
		"DOTA_Tooltip_ability_primal_split_storm_spirit_dispel_magic_radius"              "RADIUS:"

		"DOTA_Tooltip_ability_primal_split_storm_spirit_cyclone"                          "Cyclone"
		"DOTA_Tooltip_ability_primal_split_storm_spirit_cyclone_Description"              "Encloses a unit in a tornado, removing it from the battlefield."
		"DOTA_Tooltip_ability_primal_split_storm_spirit_cyclone_Note0"                    ""
		"DOTA_Tooltip_ability_primal_split_storm_spirit_cyclone_Lore"                     "Tornadoes are storms too."
		"DOTA_Tooltip_ability_primal_split_storm_spirit_cyclone_duration_hero"            "HERO DURATION:"
		"DOTA_Tooltip_ability_primal_split_storm_spirit_cyclone_duration_creeps"          "CREEP DURATION:"

		"DOTA_Tooltip_ability_primal_split_storm_spirit_storm_walk"                       "Storm Walk"
		"DOTA_Tooltip_ability_primal_split_storm_spirit_storm_walk_Description"           "Storm Spirit becomes phased, invisible, and moves faster until he attacks or uses an ability. If he breaks the invisibility with an attack, that attack will deal bonus damage."
		"DOTA_Tooltip_ability_primal_split_storm_spirit_storm_walk_Note0"                 ""
		"DOTA_Tooltip_ability_primal_split_storm_spirit_storm_walk_Lore"                  "Walking like a storm, fast, invisible and deadly."
		"DOTA_Tooltip_ability_primal_split_storm_spirit_storm_walk_bonus_damage"          "BONUS DAMAGE:"
		"DOTA_Tooltip_ability_primal_split_storm_spirit_storm_walk_bonus_move_speed"      "%BONUS MOVE SPEED:"
		"DOTA_Tooltip_ability_primal_split_storm_spirit_storm_walk_duration"              "DURATION:"
		
		"DOTA_Tooltip_modifier_storm_spirit_custom_storm_walk"                            "Storm Walk"
		"DOTA_Tooltip_modifier_storm_spirit_custom_storm_walk_Description"                "Invisible, phased and increased movement speed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

		"DOTA_Tooltip_ability_primal_split_fire_spirit_permanent_immolation"              		"Permanent Immolation"
		"DOTA_Tooltip_ability_primal_split_fire_spirit_permanent_immolation_Description"  		"Burns nearby enemy units."
		"DOTA_Tooltip_ability_primal_split_fire_spirit_permanent_immolation_Note0"        		""
		"DOTA_Tooltip_ability_primal_split_fire_spirit_permanent_immolation_Lore"         		"Burning like small Radiance."
		"DOTA_Tooltip_ability_primal_split_fire_spirit_permanent_immolation_damage_per_second"	"DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_primal_split_fire_spirit_permanent_immolation_radius"       		"RADIUS:"
		
		"DOTA_Tooltip_modifier_fire_spirit_custom_permanent_immolation_burn"              "Permanent Immolation"
		"DOTA_Tooltip_modifier_fire_spirit_custom_permanent_immolation_burn_Description"  "Taking magic damage over time."

		"DOTA_Tooltip_ability_primal_split_fire_spirit_fire_walking"                      "Fire Walking"
		"DOTA_Tooltip_ability_primal_split_fire_spirit_fire_walking_Description"          "Fire Spirit is phased and has unobstructed movement. Burns nearby trees."
		"DOTA_Tooltip_ability_primal_split_fire_spirit_fire_walking_Note0"                ""
		"DOTA_Tooltip_ability_primal_split_fire_spirit_fire_walking_Lore"                 "Unstoppable like fire itself."
		
		"DOTA_Tooltip_ability_special_bonus_unique_brewmaster_drunken_haze_burn"                "+{s:value} Breathe of Fire Burn DPS"
		"DOTA_Tooltip_ability_special_bonus_unique_brewmaster_drunken_haze_fizzle"              "Drunken Haze causes Spell Fizzle"
		"DOTA_Tooltip_ability_special_bonus_unique_brewmaster_drunken_haze_fizzle_Description"  "Spell Fizzle - spells have no effect, wasting mana and going on cooldown if they are used."

		// ******************** DARK RANGER ********************
		"DOTA_Tooltip_ability_dark_ranger_dark_arrows"                                    "Dark Arrows"
		"DOTA_Tooltip_ability_dark_ranger_dark_arrows_Description"                        "Adds a freezing effect to Ranger's attacks, slowing enemy movement and attack speed. Also adds extra damage to attacks. Units killed with Dark Arrow will turn into Dark Minions. Dark Minions are ranged creatures that obey Dark Ranger."
		"DOTA_Tooltip_ability_dark_ranger_dark_arrows_Lore"                               "Black Arrows with a slowing curse and not requiring corpses."
		"DOTA_Tooltip_ability_dark_ranger_dark_arrows_minion_duration"                    "DARK MINION DURATION:"
		"DOTA_Tooltip_ability_dark_ranger_dark_arrows_dark_minion_health"                 "DARK MINION HEALTH:"
		"DOTA_Tooltip_ability_dark_ranger_dark_arrows_dark_minion_damage"                 "DARK MINION AVG DAMAGE:"
		"DOTA_Tooltip_ability_dark_ranger_dark_arrows_movement_speed_slow"                "%MOVE SPEED SLOW:"
		"DOTA_Tooltip_ability_dark_ranger_dark_arrows_attack_speed_slow"                  "ATTACK SPEED SLOW:"
		"DOTA_Tooltip_ability_dark_ranger_dark_arrows_hero_slow_duration"                 "HERO SLOW DURATION:"
		"DOTA_Tooltip_ability_dark_ranger_dark_arrows_creep_slow_duration"                "CREEP SLOW DURATION:"
		
		"DOTA_Tooltip_modifier_dark_arrow_slow"                                           "Dark Arrow Slow"
		"DOTA_Tooltip_modifier_dark_arrow_slow_Description"                               "Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

		"DOTA_Tooltip_ability_dark_ranger_life_drain"                                     "Life Drain"
		"DOTA_Tooltip_ability_dark_ranger_life_drain_Description"                         "CHANNELED - Absorbs the life essence of a target enemy unit by taking hit points from it every second and giving them to the Dark Ranger. Life Drain has no effect when Dark Ranger has full health."
		"DOTA_Tooltip_ability_dark_ranger_life_drain_Lore"								  "Draining life spell that originates from the grandmaster of Oblivion."
		"DOTA_Tooltip_ability_dark_ranger_life_drain_Note0"								  "Destroys illusions."
		"DOTA_Tooltip_ability_dark_ranger_life_drain_Note1"                               "Life Drain is stopped if target becomes spell immune, invulnerable or if it goes out of range."
		"DOTA_Tooltip_ability_dark_ranger_life_drain_health_drain"                        "HEALTH DRAIN PER SECOND::"
		"DOTA_Tooltip_ability_dark_ranger_life_drain_duration"                            "MAX DURATION:"
		//"DOTA_Tooltip_ability_dark_ranger_life_drain_cast_range_tooltip"                "CAST RANGE:"
		"DOTA_Tooltip_ability_dark_ranger_life_drain_break_distance"                      "BREAK DISTANCE:"

		"DOTA_Tooltip_ability_dark_ranger_charm"                                          "Charm"
		"DOTA_Tooltip_ability_dark_ranger_charm_Description"                              "Takes control of a target enemy unit or hero. When cast on enemy heroes, they become invulnerable to damage and most disables. They also become controllable by Dark Ranger and their appearance is slightly changed. Some abilities and items (like teleport scroll) are disabled on a charmed hero. When Charm duration ends, enemy hero ability and item cooldowns are like before charming. Enemy hero can't be killed during Charm."
		"DOTA_Tooltip_ability_dark_ranger_charm_Lore"                                     "Dark Ranger's beauty can charm anyone."
		"DOTA_Tooltip_ability_dark_ranger_charm_charm_hero_duration"                      "HERO DURATION:"
		"DOTA_Tooltip_ability_dark_ranger_charm_charm_creep_duration"                     "CREEP DURATION:"
		//"DOTA_Tooltip_ability_dark_ranger_charm_charm_clone_duration"                     "CHARM CLONE DURATION:"
		"DOTA_Tooltip_ability_dark_ranger_charm_charm_hero_duration_scepter"              "SCEPTER HERO DURATION:"
		"DOTA_Tooltip_ability_dark_ranger_charm_scepter_description"                      "Increases hero duration and allows charming Ancient creeps."
		
		"DOTA_Tooltip_modifier_charmed_creep"                                             "Charmed"
		"DOTA_Tooltip_modifier_charmed_creep_Description"                                 "This unit is under control of Dark Ranger."

		"DOTA_Tooltip_modifier_charmed_hero"                                              "Charmed"
		"DOTA_Tooltip_modifier_charmed_hero_Description"                                  "Invulnerable and under control of Dark Ranger for a short time."

		"DOTA_Tooltip_modifier_charmed_cloned_hero"                                       "Charmed"
		"DOTA_Tooltip_modifier_charmed_cloned_hero_Description"                           "Invulnerable and under control of Dark Ranger for a short time."

		"DOTA_Tooltip_modifier_charmed_general"                                           "Charmed"
		"DOTA_Tooltip_modifier_charmed_general_Description"                               "This unit is under control of Dark Ranger."
		
		"DOTA_Tooltip_ability_dark_ranger_custom_marksmanship"                            "Marksmanship"
		"DOTA_Tooltip_ability_dark_ranger_custom_marksmanship_Description"                "Passively provides bonus agility, accuracy and attack range. It also give a chance to instantly kills creeps."
		"DOTA_Tooltip_ability_dark_ranger_custom_marksmanship_Lore"                       "Dark Ranger's experiences in battle improve her accuracy and effectiveness in combat."
		"DOTA_Tooltip_ability_dark_ranger_custom_marksmanship_bonus_agi"                  "BONUS AGILITY:"
		"DOTA_Tooltip_ability_dark_ranger_custom_marksmanship_bonus_accuracy"             "%BONUS ACCURACY:"
		"DOTA_Tooltip_ability_dark_ranger_custom_marksmanship_bonus_attack_range"         "BONUS ATTACK RANGE:"
		"DOTA_Tooltip_ability_dark_ranger_custom_marksmanship_chance_to_instant_kill"     "%CHANCE TO INSTANT KILL:"
		
		"DOTA_Tooltip_ability_dark_ranger_ranger_aura"                                    "Ranger Aura"
		"DOTA_Tooltip_ability_dark_ranger_ranger_aura_Description"                        "Adds bonus damage to the physical attack of allied ranged creeps and heroes. Bonus damage is based on a percentage of Dark Ranger's agility."
		"DOTA_Tooltip_ability_dark_ranger_ranger_aura_agility_to_ranged_damage"           "%RANGED DAMAGE BONUS:"
		"DOTA_Tooltip_ability_dark_ranger_ranger_aura_radius"                             "RADIUS:"
		
		"DOTA_Tooltip_modifier_custom_ranger_aura_effect"                                 "Ranger Aura"
		"DOTA_Tooltip_modifier_custom_ranger_aura_effect_Description"                     "Attack damage increased by %dMODIFIER_PROPERTY_TOOLTIP%."
		
		"DOTA_Tooltip_ability_special_bonus_unique_dark_ranger_1"                         "+{s:value} Dark Arrows Damage"
		"DOTA_Tooltip_ability_special_bonus_unique_dark_ranger_2"                         "+{s:value}% Ranger Aura Damage"
		"DOTA_Tooltip_ability_special_bonus_unique_dark_ranger_3"                         "+{s:value} Ranger Aura Attack Range"
		"DOTA_Tooltip_ability_special_bonus_unique_dark_ranger_4"                         "Marksmanship Split Shot"
		"DOTA_Tooltip_ability_special_bonus_unique_dark_ranger_5"                         "Life Drain Pure and works with full health"

		// ******************** DARK TERMINATOR ********************
		"npc_dota_hero_sniper"                                                  "Dark Terminator"

		"DOTA_Tooltip_ability_dark_terminator_cloak"                                     "Cloak"
		"DOTA_Tooltip_ability_dark_terminator_cloak_Description"                         "Dark Terminator becomes invisible and moves faster until he attacks or uses an ability. While invisible he is not showing on the minimap, he doesn't have a health bar and he has low aggro priority."
		"DOTA_Tooltip_ability_dark_terminator_cloak_Lore"								 "Cloaking engaged."
		"DOTA_Tooltip_ability_dark_terminator_cloak_Note0"							     "Will not break channeling of spells and items upon activation."
		"DOTA_Tooltip_ability_dark_terminator_cloak_duration"                            "DURATION:"
		"DOTA_Tooltip_ability_dark_terminator_cloak_bonus_move_speed"                    "%BONUS MOVE SPEED:"
		"DOTA_Tooltip_ability_dark_terminator_cloak_fade_time"                           "FADE TIME:"

		"DOTA_Tooltip_modifier_dark_terminator_cloak"                                    "Cloaked"
		"DOTA_Tooltip_modifier_dark_terminator_cloak_Description"                        "Invisible, increased movement speed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and not on enemy minimap."

		"DOTA_Tooltip_ability_dark_terminator_blink"                                     "Global Blink"
		"DOTA_Tooltip_ability_dark_terminator_blink_Description"                         "Teleports Dark Terminator to the target point that can be anywhere on the map."
		"DOTA_Tooltip_ability_dark_terminator_blink_Lore"                                "Confirmed that Long distance teleport is equal to Global teleport."
		"DOTA_Tooltip_ability_dark_terminator_blink_cast_point"                          "CAST TIME:"

		"DOTA_Tooltip_ability_dark_terminator_terminator_skills"                         "Terminator"
		"DOTA_Tooltip_ability_dark_terminator_terminator_skills_Description"             "Provides bonus evasion and a chance to deal bonus damage on each attack. Bonus damage is equal to %damage_percent%%% of Dark Terminator's current attack damage and ignores armor."
		"DOTA_Tooltip_ability_dark_terminator_terminator_skills_Lore"                    "Drunken Brawler and Chaos Damage combined."
		"DOTA_Tooltip_ability_dark_terminator_terminator_skills_Note0"                   "Bonus damage doesn't ignore Damage Block."
		"DOTA_Tooltip_ability_dark_terminator_terminator_skills_Note1"                   "Bonus damage is dealt in a seperate instance."
		"DOTA_Tooltip_ability_dark_terminator_terminator_skills_Note2"                   "Bonus damage doesn't work against buildings."
		"DOTA_Tooltip_ability_dark_terminator_terminator_skills_Note3"                   "Illusions fully benefit from this ability."
		"DOTA_Tooltip_ability_dark_terminator_terminator_skills_evasion_chance"          "%EVASION:"
		"DOTA_Tooltip_ability_dark_terminator_terminator_skills_damage_proc_chance"      "%CHANCE:"

		"DOTA_Tooltip_ability_dark_terminator_take_aim"                                  "Take Aim"
		"DOTA_Tooltip_ability_dark_terminator_take_aim_Description"                      "Grants bonus attack range."
		"DOTA_Tooltip_ability_dark_terminator_take_aim_Lore"                             ""
		"DOTA_Tooltip_ability_dark_terminator_take_aim_bonus_attack_range"               "BONUS ATTACK RANGE:"

		"DOTA_Tooltip_ability_dark_terminator_confuse"                                   "Confuse"
		"DOTA_Tooltip_ability_dark_terminator_confuse_Description"                       "Confuses the enemy by creating strong illusions of Dark Terminator."
		"DOTA_Tooltip_ability_dark_terminator_confuse_Lore"                              "Imita|tcffffcc00rion"
		"DOTA_Tooltip_ability_dark_terminator_confuse_Note0"                             "Dark Terminator is not invulnerable when casting Confuse."
		"DOTA_Tooltip_ability_dark_terminator_confuse_Note1"                             "Confuse doesn't dispel when used."
		"DOTA_Tooltip_ability_dark_terminator_confuse_illusion_duration"                 "ILLUSION DURATION:"
		"DOTA_Tooltip_ability_dark_terminator_confuse_outgoing_damage_tooltip"           "%ILLUSION DAMAGE:"
		"DOTA_Tooltip_ability_dark_terminator_confuse_incoming_damage_tooltip"           "%ILLUSION DAMAGE TAKEN:"
		"DOTA_Tooltip_ability_dark_terminator_confuse_illusion_count"                    "ILLUSION COUNT:"

		"DOTA_Tooltip_ability_dark_terminator_terminate"                                 "Terminate"
		"DOTA_Tooltip_ability_dark_terminator_terminate_Description"                     "Dark Terminator locks onto a target enemy unit and, after a short aiming duration, fires a devastating shot that deals damage and mini-stuns the target. <br><br><font color='#70EA72'>Slower projectile. Crosshair effect is visible to everyone.</font>"
		"DOTA_Tooltip_ability_dark_terminator_terminate_Lore"                            "Killing all living things is normal for the Dark Terminator."
		"DOTA_Tooltip_ability_dark_terminator_terminate_Note0"                           "Invisibility doesn't disjoint the projectile."
		"DOTA_Tooltip_ability_dark_terminator_terminate_damage"                          "DAMAGE:"
		"DOTA_Tooltip_ability_dark_terminator_terminate_scepter_description"             "Increases damage and stun duration. Stun pierces spell immunity."
		"DOTA_Tooltip_ability_dark_terminator_terminate_scepter_damage"                  "SCEPTER DAMAGE:"
		"DOTA_Tooltip_ability_dark_terminator_terminate_scepter_stun_duration"           "SCEPTER STUN DURATION:"

		"DOTA_Tooltip_modifier_dark_terminator_terminate_target"                         "Terminate"
		"DOTA_Tooltip_modifier_dark_terminator_terminate_target_Description"             "Dark Terminator is aiming your head!"

		"DOTA_Tooltip_ability_special_bonus_unique_dark_terminator_proc_chance"             "+{s:value}% Terminator Damage Chance"
		"DOTA_Tooltip_ability_special_bonus_unique_dark_terminator_confuse_illusion_damage" "+{s:value}% Confuse Damage"
		"DOTA_Tooltip_ability_special_bonus_unique_dark_terminator_confuse_extra_illusion"  "+{s:value} Confuse Illusion"
		"DOTA_Tooltip_ability_special_bonus_unique_dark_terminator_terminate"               "-{s:value}s Terminate Cast Time"
		"DOTA_Tooltip_ability_special_bonus_unique_dark_terminator_take_aim"                "+{s:value} Take Aim Attack Range"

		// ******************** DEATH KNIGHT ********************
		"DOTA_Tooltip_ability_death_knight_death_coil"                                    "Death Coil"
		"DOTA_Tooltip_ability_death_knight_death_coil_Description"                        "Death Knight releases a coil of deathly mist that can damage an enemy unit or heal a friendly unit at the cost of some of Death Knight's health."
		"DOTA_Tooltip_ability_death_knight_death_coil_Lore"								  "A mysterious vapor infuses the breath of Death Knight, who releases it at will."
		"DOTA_Tooltip_ability_death_knight_death_coil_projectile_speed"                   "PROJECTILE SPEED:"
		"DOTA_Tooltip_ability_death_knight_death_coil_self_damage"                        "SELF DAMAGE:"
		"DOTA_Tooltip_ability_death_knight_death_coil_target_damage"                      "DAMAGE:"
		"DOTA_Tooltip_ability_death_knight_death_coil_heal_amount"                        "HEAL:"

		"DOTA_Tooltip_ability_death_knight_death_pact"                                    "Death Pact"
		"DOTA_Tooltip_ability_death_knight_death_pact_Description"                        "Death Knight consumes the target friendly or enemy creep, gaining a percent of its hitpoints as max health and damage."
		"DOTA_Tooltip_ability_death_knight_death_pact_Lore"								  "Through the sacrifice of lesser beings, Death Knight can absorb their unholy energies and convert them into health and damage for himself."
		"DOTA_Tooltip_ability_death_knight_death_pact_Note0"							  "If the target is an enemy, Death Knight will gain the correct experience and gold."
		"DOTA_Tooltip_ability_death_knight_death_pact_Note1"							  "Increases Death Knight's current and max HP."
		"DOTA_Tooltip_ability_death_knight_death_pact_Note2"							  "When the duration ends, max HP returns to normal, but current HP stays the same."
		"DOTA_Tooltip_ability_death_knight_death_pact_duration"                           "DURATION:"
		"DOTA_Tooltip_ability_death_knight_death_pact_health_gain_pct"                    "%HEALTH GAIN:"
		"DOTA_Tooltip_ability_death_knight_death_pact_damage_gain_pct"                    "%DAMAGE GAIN:"
		
		"DOTA_Tooltip_modifier_custom_death_pact"                                         "Death Pact"
		"DOTA_Tooltip_modifier_custom_death_pact_Description"                             "Damage and health increased."
		
		"DOTA_Tooltip_ability_death_knight_death_pit"                                     "Death Pit"
		"DOTA_Tooltip_ability_death_knight_death_pit_Description"                         "Creates a a pit of death that slows movement speed and reduces healing done in its range. Death pit is also allowing all allies to regain health for a percentage of the damage they deal to the unit inside the pit. All damage dealt will steal life, including damage from spells."
		"DOTA_Tooltip_ability_death_knight_death_pit_Lore"								  "Frozen, caustic winds of death are at the whim of Death Knight, chilling and blighting the field of battle."
		"DOTA_Tooltip_ability_death_knight_death_pit_radius"                              "RADIUS:"
		"DOTA_Tooltip_ability_death_knight_death_pit_move_speed_slow"                     "%MOVE SPEED SLOW:"
		"DOTA_Tooltip_ability_death_knight_death_pit_heal_reduction"                      "%HEAL REDUCTION:"
		"DOTA_Tooltip_ability_death_knight_death_pit_bonus_lifesteal"                     "%LIFESTEAL:"
		"DOTA_Tooltip_ability_death_knight_death_pit_pit_duration"                        "PIT DURATION:"
		
		"DOTA_Tooltip_modifier_death_knight_death_pit_effect"							  "Death Pit"
		"DOTA_Tooltip_modifier_death_knight_death_pit_effect_Description"				  "Slowed, reduced healing and granting lifesteal to enemies when damaged."

		"DOTA_Tooltip_ability_death_knight_chilling_touch"                                "Chilling Touch"
		"DOTA_Tooltip_ability_death_knight_chilling_touch_Description"                    "A frigid gust enchants allied heroes and Death Knight, granting bonus magical damage for a short time."
		"DOTA_Tooltip_ability_death_knight_chilling_touch_Lore"							  "The Death Knight's eternal knowledge brings a frigid enchantment to his allies."
